1,1,7.666667,0.000000
2,3,5.000000,2.666667
3,3,5.500000,6.000000
4,1,20.500000,0.000000
5,2,7.000000,0.500000
6,1,5.000000,0.000000
7,1,15.000000,0.000000
8,1,10.500000,0.000000
9,1,9.000000,0.000000
10,2,4.500000,4.500000
11,2,4.000000,4.500000
12,1,7.250000,0.000000
13,1,5.535714,0.000000
14,4,5.614286,8.750000
15,14,8.457143,24.357143
16,10,5.604396,20.400000
17,7,5.252747,22.857143
18,13,5.352381,21.230769
19,14,5.901075,16.857143
20,15,5.389401,24.933333
21,31,8.017857,66.967742
22,28,5.053571,42.428571
23,16,7.116883,55.750000
24,7,5.454545,7.714286
25,11,5.250000,30.727273
26,3,5.416667,0.000000
27,4,7.083333,4.750000
28,6,3.750000,7.333333
29,4,10.500000,14.750000
30,2,4.000000,0.500000
31,6,7.000000,22.000000
32,3,8.000000,0.000000
33,3,4.000000,8.000000
34,4,9.333333,14.000000
35,1,7.416667,0.000000
36,3,8.107143,2.666667
37,4,4.142857,4.750000
38,7,5.333333,20.857143
39,8,5.666667,2.000000
40,3,6.750000,4.666667
