5_5,3.120879,0.409904,2.795699,93,1.828332,0.472511,1.881198,77
5_10,3.380952,0.784934,3.023256,86,1.980193,1.331579,1.934850,69
5_15,3.550000,1.475736,3.170732,82,2.181131,3.682189,2.064833,63
5_20,3.641026,1.855248,3.250000,80,2.383818,5.618595,2.199432,60
5_25,3.736842,3.198865,3.333333,78,2.642433,9.505444,2.290822,56
5_30,3.837838,7.320964,3.421053,76,3.063876,25.594137,2.612033,56
5_35,3.837838,12.052574,3.421053,76,3.237841,48.501852,2.843567,57
10_5,4.115942,1.988473,3.661972,71,1.944439,2.921380,2.793068,49
10_10,4.580645,2.665077,4.062500,64,1.917435,3.064916,2.799972,41
10_15,4.896552,3.734515,4.333333,60,2.023344,4.661678,2.879043,35
10_20,5.071429,4.335869,4.482759,58,2.221201,6.644613,2.984104,32
10_25,5.259259,6.295930,4.642857,56,2.500301,10.753942,3.043897,28
10_30,5.461538,12.212108,4.814815,54,3.015388,29.393517,3.350368,28
10_35,5.461538,18.871411,4.814815,54,3.263840,56.346156,3.605932,29
15_5,4.838983,5.412680,4.333333,60,2.125805,8.398293,3.608632,38
15_10,5.490385,6.681964,4.905660,53,1.858931,8.459014,3.593832,30
15_15,5.947917,8.319389,5.306122,49,1.757635,8.866692,3.632080,24
15_20,6.206522,9.256587,5.531915,47,1.882185,10.028675,3.706527,21
15_25,6.488636,11.914472,5.777778,45,2.116241,12.833186,3.729098,17
15_30,6.797619,19.605419,6.046512,43,2.679364,31.726735,3.999730,17
15_35,6.963415,28.777033,6.190476,42,2.972084,61.920289,4.227113,17
20_5,5.386792,10.218573,4.814815,54,2.506677,16.338431,4.525950,34
20_10,6.206522,12.365666,5.531915,47,2.097659,16.654154,4.546924,26
20_15,6.797619,14.760285,6.046512,43,1.760973,16.663134,4.584876,20
20_20,7.137500,16.148824,6.341463,41,1.815653,17.197505,4.646582,17
20_25,7.513158,19.569063,6.666667,39,1.914279,18.206779,4.653828,13
20_30,7.930556,28.920951,7.027027,37,2.457906,34.061762,4.885093,13
20_35,7.930556,38.471015,7.027027,37,2.719367,64.714546,5.133286,14
25_5,6.074468,24.213844,5.416667,48,3.189800,44.813576,5.823205,31
25_10,7.137500,29.064581,6.341463,41,2.636948,46.871268,5.924771,23
25_15,7.930556,33.652805,7.027027,37,2.029751,47.616225,5.988667,17
25_20,8.397059,36.358952,7.428571,35,1.829384,48.117296,6.048781,14
25_25,8.921875,41.625908,7.878788,33,1.567115,47.726781,6.049080,10
25_30,9.516667,54.210862,8.387097,31,1.881298,53.054251,6.240748,10
25_35,9.844828,65.390361,8.666667,30,2.223859,71.363109,6.336841,10
30_5,6.467110,38.311719,5.909091,44,4.117204,71.336269,6.768302,27
30_10,7.724603,46.354026,7.027027,37,3.702209,75.186253,6.930101,19
30_15,8.690179,53.594089,7.878788,33,3.113693,76.862701,7.009766,13
30_20,9.589163,60.600482,8.666667,30,3.002296,77.970882,7.039571,8
30_25,9.931633,64.474185,8.965517,29,2.848237,77.545961,7.009760,7
30_30,10.695604,77.977651,9.629630,27,2.730445,78.983538,7.077079,5
30_35,11.586905,112.088530,10.400000,25,2.997969,107.990365,7.725283,5
35_5,7.104701,67.195833,6.500000,40,5.235057,133.736648,8.083935,25
35_10,8.658854,82.339899,7.878788,33,4.853459,142.750532,8.362099,17
35_15,9.895833,95.542159,8.965517,29,4.206893,147.690730,8.491305,11
35_20,11.083333,108.466621,10.000000,26,3.966229,151.175431,8.530488,6
35_25,11.545139,114.874762,10.400000,25,3.727466,151.336911,8.494704,5
35_30,12.594697,135.109317,11.304348,23,3.276048,150.404486,8.518189,3
35_35,13.194444,152.471940,11.818182,22,3.138354,118.732170,7.912225,3
