1,3,7.666667,2.666667
2,3,5.000000,6.000000
3,1,5.500000,0.000000
4,2,20.500000,0.500000
5,1,7.000000,0.000000
6,1,5.000000,0.000000
7,1,15.000000,0.000000
8,1,12.000000,0.000000
9,1,7.500000,0.000000
10,2,4.500000,4.500000
11,1,4.000000,0.000000
12,1,7.250000,0.000000
13,4,5.673077,8.750000
14,13,5.476923,20.923077
15,10,7.100000,20.400000
16,4,6.100000,5.000000
17,10,5.666667,12.400000
18,15,5.733333,26.933333
19,12,4.857143,22.000000
20,14,4.892857,13.714286
21,20,3.625000,41.750000
22,8,5.291667,7.875000
23,6,5.133333,7.333333
24,5,6.200000,6.800000
25,1,4.000000,0.000000
26,1,14.000000,0.000000
27,2,9.000000,2.000000
28,3,14.000000,2.000000
29,1,19.000000,0.000000
