15660,39.48863713321,36.47942115660,168.370025
13321,169.767993
19201,186.588436
15982,181.690811
20355,182.303088
19118,174.222366
20224,170.712626
23469,176.899446
147330,320.443152
22780,157.141818
27684,165.594504
27685,175.329157
28842,179.958089
68024,258.526193
22780,120.577349
27684,125.061252
27685,130.189978
28842,134.805940
68024,213.984805
22780,119.661998
27684,124.374021
28842,135.779950
33361,142.610557
34663,144.441281
13321,102.915494
15660,110.622663
15982,115.990483
19201,117.882721
19118,123.422997
20355,125.058560
23469,129.614937
83166,259.367012
8891,140.618899
2902,148.365550
2364,155.048547
3661,157.833252
9725,169.782685
9777,172.856740
6976,133.140624
8062,135.654137
7286,138.122669
1601,155.063912
1525,155.872119
5401,162.914616
6466,164.917116
3321,124.296232
5658,132.136778
5982,139.312054
9198,143.465095
9115,153.657392
354,160.179794
222,160.284658
3468,164.586667
3321,124.005953
5658,132.209521
5982,138.879411
9198,142.998949
9115,153.134232
222,159.460810
354,159.506394
3468,163.957225
